UTC_Time,Account,Operation,Coin,Change,Remark
2021-08-19 16:52:05,Spot,Fee,BNB,-0.00008188,""
2021-08-19 16:54:26,Spot,Buy,BUSD,-23.82740000,""
2021-08-19 16:54:26,Spot,Buy,ADA,10.93000000,""
2021-08-19 16:54:26,Spot,Fee,BNB,-0.00004269,""
2021-08-20 00:58:49,Spot,POS savings interest,BNB,0.00022407,""
2021-08-20 13:51:14,Spot,Large OTC trading,BTC,-0.00216200,""
2021-08-20 13:51:14,Spot,Large OTC trading,ADA,40.00000080,""
2021-08-20 14:34:42,Spot,Withdraw,ADA,-50.93000100,Withdraw fee is included
2021-08-21 00:58:34,Spot,POS savings interest,BNB,0.00022407,""
2021-08-22 00:58:49,Spot,POS savings interest,BNB,0.00022407,""
2021-08-22 19:20:09,Spot,Sell,BTC,-0.00328300,""
2021-08-22 19:20:09,Spot,Sell,BUSD,108.62100000,""
2021-08-22 19:20:09,Spot,Sell,BUSD,881.45820000,""
2021-08-22 19:20:09,Spot,Sell,BTC,-0.01813700,""
2021-08-22 19:20:09,Spot,Sell,BUSD,159.55380000,""
2021-08-22 19:20:09,Spot,Sell,BTC,-0.00223500,""
2021-08-22 21:59:15,Spot,Sell,BUSD,381.51000000,""
2021-08-22 21:59:15,Spot,Sell,XMR,-1.27170000,""
2021-08-22 23:53:42,Spot,Small assets exchange BNB,XMR,-0.00000912,""
2021-08-22 23:53:42,Spot,Small assets exchange BNB,BNB,0.00000608,""
2021-08-22 23:58:44,Spot,Buy,AXS,4.90000000,""
2021-08-22 23:58:44,Spot,Buy,BUSD,-378.62300000,""
2021-08-22 23:58:46,Spot,Buy,BUSD,-0.77270000,""
2021-08-22 23:58:46,Spot,Buy,AXS,0.01000000,""
2021-08-23 00:00:00,Spot,Buy,BUSD,-69.45300000,""
2021-08-23 00:00:00,Spot,Buy,AXS,0.90000000,""
2021-08-23 00:59:12,Spot,POS savings interest,BNB,0.00022407,""
2021-08-23 23:17:16,P2P,P2P Trading,BUSD,514.70588235,""
2021-08-23 23:47:34,Spot,Buy,BNB,0.51500000,""
2021-08-23 23:47:34,Spot,Buy,BUSD,-257.33005000,""
2021-08-24 00:33:25,Spot,Buy,ADA,88.76000000,""
2021-08-24 00:33:25,Spot,Buy,BUSD,-257.40400000,""
2021-08-24 01:00:07,Spot,POS savings interest,BNB,0.00022407,""
2021-08-24 04:20:42,Spot,Withdraw,ADA,-88.76000000,Withdraw fee is included
2021-08-24 13:36:27,Spot,Buy,BUSD,-29.68200000,""
2021-08-24 13:36:27,Spot,Buy,BTC,0.00061200,""
2021-08-24 13:36:27,Spot,Buy,BTC,0.00033900,""
2021-08-24 13:36:27,Spot,Buy,BUSD,-16.44150000,""
2021-08-24 13:36:27,Spot,Buy,BUSD,-1036.29950000,""
2021-08-24 13:36:27,Spot,Buy,BTC,0.02136700,""
2021-08-25 00:59:21,Spot,POS savings interest,BNB,0.00022407,""
2021-08-26 01:01:14,Spot,POS savings interest,BNB,0.00022407,""
2021-08-27 01:00:30,Spot,POS savings interest,BNB,0.00022407,""
2021-08-27 04:48:06,Spot,Sell,ETH,-0.21020000,""
2021-08-27 04:48:06,Spot,Sell,BUSD,651.62000000,""
2021-08-27 05:05:16,Spot,Sell,BTC,-0.00188000,""
2021-08-27 05:05:16,Spot,Sell,BUSD,992.17000000,""
2021-08-27 05:05:16,Spot,Sell,BTC,-0.02111000,""
2021-08-27 05:05:16,Spot,Sell,BUSD,88.36000000,""
2021-08-28 00:44:19,Spot,POS savings interest,BNB,0.00018647,""
2021-08-28 17:17:27,P2P,P2P Trading,BUSD,-250.00000000,""
2021-08-29 00:44:54,Spot,POS savings interest,BNB,0.00018647,""
2021-08-30 00:45:47,Spot,POS savings interest,BNB,0.00018647,""
2021-08-30 04:45:01,Spot,Buy,ADA,152.50000000,""
2021-08-30 04:45:01,Spot,Buy,BUSD,-427.00000000,""
2021-08-31 00:46:10,Spot,POS savings interest,BNB,0.00014443,""
2021-09-01 00:48:35,Spot,POS savings interest,BNB,0.00014443,""
2021-09-02 00:49:14,Spot,POS savings interest,BNB,0.00014443,""
2021-09-03 00:47:18,Spot,POS savings interest,BNB,0.00014443,""
2021-09-03 03:26:00,Spot,Withdraw,ADA,-152.50000000,Withdraw fee is included
2021-09-03 15:49:21,P2P,P2P Trading,BUSD,769.23076923,""
2021-09-04 00:47:40,Spot,POS savings interest,BNB,0.00014443,""
2021-09-05 00:47:43,Spot,POS savings interest,BNB,0.00014443,""
2021-09-06 00:47:54,Spot,POS savings interest,BNB,0.00014443,""
