UTC_Time,Operation,Coin,Change,Investment
2021-08-22 21:59:15,Sell,BUSD,381.51000000,
2021-08-22 23:53:42,Small assets exchange BNB,XMR,-0.00000912,
2021-08-22 23:53:42,Small assets exchange BNB,BNB,0.00000608,
2021-08-22 23:58:44,Buy,BUSD,-378.62300000,
2021-08-22 23:58:44,Buy,AXS,4.90000000,
2021-08-22 23:58:46,Buy,BUSD,-0.77270000,
2021-08-22 23:58:46,Buy,AXS,0.01000000,
2021-08-23 00:00:00,Buy,BUSD,-69.45300000,
2021-08-23 00:00:00,Buy,AXS,0.90000000,
2021-08-23 00:59:12,POS savings interest,BNB,0.00022407,
2021-08-23 23:18:43,transfer_in,BUSD,514.70588235,700.00
2021-08-23 23:47:34,Buy,BNB,0.51500000,
2021-08-23 23:47:34,Buy,BUSD,-257.33005000,
2021-08-24 00:33:25,Buy,ADA,88.76000000,
2021-08-24 00:33:25,Buy,BUSD,-257.40400000,
2021-08-24 01:00:07,POS savings interest,BNB,0.00022407,
2021-08-24 04:20:42,TRANSFER,ADA,-88.76000000,
2021-08-24 13:36:27,Buy,BUSD,-29.68200000,
2021-08-24 13:36:27,Buy,BTC,0.00061200,
2021-08-24 13:36:27,Buy,BUSD,-16.44150000,
2021-08-24 13:36:27,Buy,BUSD,-1036.29950000,
2021-08-24 13:36:27,Buy,BTC,0.02136700,
2021-08-24 13:36:27,Buy,BTC,0.00033900,
2021-08-25 00:59:21,POS savings interest,BNB,0.00022407,
2021-08-26 01:01:14,POS savings interest,BNB,0.00022407,
2021-08-27 01:00:30,POS savings interest,BNB,0.00022407,
2021-08-27 04:48:06,Sell,ETH,-0.21020000,
2021-08-27 04:48:06,Sell,BUSD,651.62000000,
2021-08-27 05:05:16,Sell,BUSD,88.36000000,
2021-08-27 05:05:16,Sell,BUSD,992.17000000,
2021-08-27 05:05:16,Sell,BTC,-0.02111000,
2021-08-27 05:05:16,Sell,BTC,-0.00188000,
2021-08-28 00:44:19,POS savings interest,BNB,0.00018647,
2021-08-29 00:44:54,POS savings interest,BNB,0.00018647,
2021-08-30 00:45:47,POS savings interest,BNB,0.00018647,
2021-08-30 04:45:01,Buy,ADA,152.50000000,
2021-08-30 04:45:01,Buy,BUSD,-427.00000000,
2021-08-31 00:46:10,POS savings interest,BNB,0.00014443,
2021-09-01 00:48:35,POS savings interest,BNB,0.00014443,
2021-09-02 00:49:14,POS savings interest,BNB,0.00014443,
2021-09-03 00:47:18,POS savings interest,BNB,0.00014443,
2021-09-03 03:26:00,TRANSFER,ADA,-152.50000000,
2021-09-03 15:50:49,transfer_in,BUSD,769.23076923,1000.00
2021-09-04 00:47:40,POS savings interest,BNB,0.00014443,
2021-09-04 13:12:28,Sell,BUSD,522.90000000,
2021-09-04 13:12:28,Sell,AXS,-5.81000000,
2021-09-05 00:47:43,POS savings interest,BNB,0.00014443,
2021-09-06 00:47:54,POS savings interest,BNB,0.00014443,
2021-09-06 19:31:51,Buy,BUSD,-769.35600000,
2021-09-06 19:31:51,Buy,ADA,270.90000000,
2021-09-07 00:47:22,POS savings interest,BNB,0.00014443,
2021-09-07 14:29:32,Buy,BUSD,-522.71000000,
2021-09-07 14:29:32,Buy,SOL,3.13000000,
2021-09-08 00:47:27,POS savings interest,BNB,0.00014443,
2021-09-09 00:46:43,POS savings interest,BNB,0.00014443,
2021-09-10 00:46:45,POS savings interest,BNB,0.00014443,
2021-09-10 11:50:11,Sell,SOL,-3.13000000,
2021-09-10 11:50:11,Sell,BUSD,575.92000000,
2021-09-10 16:38:52,Buy,BUSD,-575.94000000,
2021-09-10 16:38:52,Buy,SOL,3.31000000,
2021-09-11 00:47:15,POS savings interest,BNB,0.00014443,
2021-09-12 00:47:37,POS savings interest,BNB,0.00014443,
2021-09-12 08:20:39,Sell,BUSD,1046.50000000,
2021-09-12 08:20:39,Sell,BTC,-0.02275000,
2021-09-13 00:48:12,POS savings interest,BNB,0.00014443,
2021-09-13 03:03:38,Sell,SOL,-1.59000000,
2021-09-13 03:03:38,Sell,BUSD,251.49030000,
2021-09-13 03:04:14,Sell,BUSD,272.05240000,
2021-09-13 03:04:14,Sell,SOL,-1.72000000,
2021-09-13 13:36:15,Sell,ETH,-0.21030000,
2021-09-13 13:36:15,Sell,BUSD,696.09300000,
2021-09-13 14:45:01,Sell,BUSD,10.13172770,
2021-09-13 14:45:01,Sell,BTC,-0.00023000,
2021-09-14 00:48:49,POS savings interest,BNB,0.00014443,
2021-09-15 00:48:46,POS savings interest,BNB,0.00014443,
2021-09-16 00:53:30,POS savings interest,BNB,0.00014443,
2021-09-17 00:54:06,POS savings interest,BNB,0.00014443,
2021-09-18 00:54:27,POS savings interest,BNB,0.00014443,
2021-09-19 00:55:48,POS savings interest,BNB,0.00014443,
2021-09-20 00:58:12,POS savings interest,BNB,0.00014443,
2021-09-21 01:02:43,POS savings interest,BNB,0.00014443,
2021-09-22 01:00:35,POS savings interest,BNB,0.00014443,
2021-09-23 00:56:48,POS savings interest,BNB,0.00014443,
2021-09-24 01:56:17,POS savings interest,BNB,0.00014443,
2021-09-25 01:57:57,POS savings interest,BNB,0.00014443,
2021-09-26 00:56:57,POS savings interest,BNB,0.00014443,
2021-09-27 01:57:18,POS savings interest,BNB,0.00014443,
2021-09-28 00:56:35,POS savings interest,BNB,0.00014443,
2021-09-29 01:56:10,POS savings interest,BNB,0.00014443,
2021-09-30 01:57:30,POS savings interest,BNB,0.00014443,
2021-10-01 01:56:31,POS savings interest,BNB,0.00014443,
2021-10-02 01:58:32,POS savings interest,BNB,0.00014443,
2021-10-02 02:10:07,Buy,LUNA,5.99000000,
2021-10-02 02:10:07,Buy,BUSD,-227.62000000,
2021-10-02 03:25:39,Buy,ATOM,5.99000000,
2021-10-02 03:25:39,Buy,BUSD,-227.62000000,
2021-10-02 03:46:41,Buy,BUSD,-227.65000000,
2021-10-02 03:46:41,Buy,SOL,1.45000000,
2021-10-02 13:18:43,Buy,BUSD,-797.06700000,
2021-10-02 13:18:43,Buy,BTC,0.01671000,
2021-10-02 13:20:11,Buy,BUSD,-796.29000000,
2021-10-02 13:20:11,Buy,ETH,0.24130000,
2021-10-03 01:58:38,POS savings interest,BNB,0.00014443,
2021-10-03 18:48:42,TRANSFER,ETH,-0.24132031,
2021-10-03 19:21:07,TRANSFER,BTC,-0.01671201,
2021-10-03 19:34:42,TRANSFER,SOL,-1.45000000,
2021-10-04 01:59:40,POS savings interest,BNB,0.00014443,
2021-10-05 00:38:11,POS savings redemption,BNB,0.80737754,
2021-10-14 15:50:49,transfer_in,BUSD,729.725,1000.00
2021-10-15 00:06:59,Buy,BNB,0.77800000,
2021-10-15 00:06:59,Buy,BUSD,-364.88200000,
2021-10-15 01:13:46,Buy,DOT,1.21000000,
2021-10-15 01:13:46,Buy,DOT,7.98000000,
2021-10-15 01:13:46,Buy,BUSD,-316.80600000,
2021-10-15 01:13:46,Buy,BUSD,-48.03700000,
2021-10-21 16:13:10,TRANSFER,SOL,1.43999500,
2021-10-22 13:21:16,Sell,BUSD,266.70000000,
2021-10-22 13:21:16,Sell,SOL,-0.16000000,
2021-10-22 13:21:16,Sell,SOL,-1.27000000,
2021-10-22 13:21:16,Sell,BUSD,33.60000000,
2021-10-26 22:39:13,Buy,BUSD,-300.00000000,
2021-10-26 22:39:13,Buy,BTC,0.00500000,
